Quadro de sócios e administradores,,,,,,,,,,,,,,,,,,,
Este CNPJ tem sócio em comum com outro CNPJ ?,,,,,Sim,,,Sim,,,Não,,,Não,,,,,
,,,,,"Mind Business Consultoria Ltda, Sócio",,,"Mind Business Consultoria Ltda, Sócio",,,"Marcio Arruda Miotto, Sócio-administrador",,,"Sunrise Empreendimentos Imobiliarios E Participacoes Ltda, Sócio",,,null,,
,,,,,"Vinicius Jose Santos, Sócio-administrador",,,"Vinicius Jose Santos, Sócio-administrador",,,"Marcos Arruda Miotto, Sócio-administrador",,,"Fernanda Denicoli Pereira Crispim, Administrador",,,,,
,,,,,,,,,,,"Maria Hortencia Arruda Miotto, Administrador",,,,,,,,
,,,,,,,,,,,"Marina Arruda Miotto, Sócio-administrador",,,,,,,,
