id,cnpj,socio,qualificacao,erro
C:\Users\Fernando\AppData\Local\Temp\tmpzgua0f_j\20250918193129_00001.pdf,23973668000110,,,Não foi possível localizar página de pessoa jurídica para CNPJ 23973668000110
C:\Users\Fernando\AppData\Local\Temp\tmpzgua0f_j\20250918193129_00002.pdf,52067115000105,,,Não foi possível localizar página de pessoa jurídica para CNPJ 52067115000105
C:\Users\Fernando\AppData\Local\Temp\tmpzgua0f_j\20250918193129_00003.pdf,22401620000175,,,Não foi possível localizar página de pessoa jurídica para CNPJ 22401620000175
